n_in,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2010090508,0.301,5.38,-0.57,96.09,5.41,5.75,-0.5,95.01,5.78,4.8,-0.48,95.72,4.82,5.72,-0.94,99.35,5.8
2010090509,0.376,5.27,-0.47,95.08,5.29,5.93,-0.51,94.89,5.95,5,-0.41,94.66,5.02,5.77,-0.96,99.47,5.85
2010090510,0.366,5.21,-0.37,94.11,5.23,5.97,-0.39,93.7,5.98,5.41,-0.35,93.68,5.42,6.08,-0.96,98.94,6.16
2010090511,0.301,5.33,-0.35,93.72,5.34,6.02,-0.28,92.7,6.02,5.94,-0.43,94.13,5.96,6.53,-1.01,98.81,6.61
2010090512,0.391,5.77,-0.45,94.47,5.79,6.31,-0.4,93.61,6.32,6.51,-0.82,97.18,6.56,6.98,-1.25,100.14,7.1
2010090513,0.441,6.96,-0.84,96.88,7.01,7.03,-1.58,102.68,7.2,7.32,-1.71,103.17,7.52,7.09,-2.21,107.34,7.43
2010090514,0.386,7.73,-1.36,100.01,7.85,7.46,-2.36,107.53,7.82,7.55,-2.17,106.06,7.86,7.27,-2.53,109.18,7.7
2010090515,0.586,8.26,-1.64,101.21,8.42,7.75,-2.68,109.06,8.2,7.72,-2.33,106.81,8.06,7.4,-2.32,107.4,7.75
2010090516,0.471,8.31,-1.43,99.75,8.43,7.9,-2.24,105.85,8.21,7.87,-1.99,104.16,8.12,7.46,-1.75,103.17,7.66
2010090517,0.652,8.08,-0.93,96.58,8.14,7.98,-1.36,99.7,8.09,8.02,-1.32,99.33,8.12,7.51,-1.03,97.77,7.58
2010090518,0.506,7.89,-0.45,93.26,7.9,8.09,-0.51,93.6,8.1,8.18,-0.6,94.23,8.2,7.61,-0.38,92.88,7.62
2010090519,0.566,7.91,-0.2,91.45,7.92,8.25,-0.04,90.25,8.25,8.31,-0.07,90.49,8.31,7.75,0.02,89.88,7.75
2010090520,0.642,7.84,-0.1,90.74,7.84,8.19,0.14,89.02,8.19,8.17,0.28,88.01,8.18,7.66,0.25,88.13,7.67
2010090521,0.566,7.23,0.01,89.91,7.23,7.54,0.22,88.31,7.54,7.47,0.52,86.05,7.49,7,0.46,86.27,7.01
2010090522,0.506,5.82,0.26,87.46,5.83,6.09,0.37,86.5,6.1,6.05,0.69,83.51,6.09,5.59,0.74,82.47,5.63
2010090523,0.296,4.14,0.59,81.9,4.18,4.34,0.62,81.84,4.38,4.34,0.89,78.44,4.43,3.91,1.06,74.84,4.05
2010090600,0.211,2.87,0.91,72.35,3.01,2.94,0.97,71.8,3.09,2.93,1.21,67.53,3.17,2.62,1.35,62.76,2.95
2010090601,0.311,2.36,1.38,59.68,2.73,2.23,1.7,52.75,2.8,2.19,1.55,54.67,2.69,2.3,1.81,51.81,2.93
2010090602,0.271,2.38,1.76,53.54,2.96,2.11,2.17,44.16,3.03,2.36,1.7,54.27,2.91,2.11,1.82,49.24,2.79
2010090603,0.276,2.62,2,52.72,3.29,2.28,2.42,43.3,3.32,2.67,1.82,55.76,3.23,2.13,1.87,48.77,2.83
2010090604,0.231,2.76,2,54.04,3.41,2.49,2.28,47.57,3.37,2.78,1.94,55.08,3.39,2.28,1.92,49.9,2.98
2010090605,0.211,2.8,1.85,56.62,3.35,2.7,1.9,54.8,3.3,2.71,2.01,53.49,3.38,2.48,1.93,52.08,3.14
2010090606,0.216,2.84,1.64,60.03,3.28,2.9,1.53,62.24,3.28,2.61,1.96,53.17,3.26,2.62,1.82,55.14,3.19
2010090607,0.321,2.93,1.46,63.43,3.27,3.07,1.32,66.75,3.34,2.57,1.75,55.73,3.1,2.63,1.58,59.04,3.07
2010090608,0.321,3,1.35,65.85,3.29,3.11,1.26,67.92,3.36,2.51,1.49,59.21,2.92,2.53,1.33,62.37,2.86
2010090609,0.226,2.96,1.28,66.59,3.23,2.9,1.28,66.15,3.17,2.33,1.34,60.06,2.69,2.38,1.25,62.31,2.69
2010090610,0.261,2.76,1.3,64.83,3.05,2.41,1.36,60.6,2.77,2,1.43,54.3,2.46,2.21,1.48,56.17,2.66
2010090611,0.211,2.52,1.48,59.51,2.92,1.95,1.64,49.86,2.55,1.67,1.86,42.03,2.5,2.09,2.02,46.03,2.91
2010090612,0.266,2.42,1.96,51,3.11,1.9,2.33,39.21,3.01,1.61,2.7,30.77,3.14,2.09,2.82,36.56,3.51
2010090613,0.291,2.55,3.51,36,4.34,1.98,3.94,26.72,4.41,2.27,3.8,30.84,4.42,3.18,3.39,43.21,4.65
2010090614,0.266,3.69,4.79,37.62,6.04,2.79,5.14,28.49,5.85,2.73,4.77,29.76,5.5,3.38,4.15,39.14,5.35
2010090615,0.326,5.01,5.67,41.45,7.56,3.98,5.79,34.52,7.02,3.59,5.54,32.97,6.6,3.15,4.98,32.36,5.89
2010090616,0.446,6.19,5.81,46.81,8.49,5.43,5.54,44.44,7.76,4.85,5.92,39.34,7.66,2.73,5.75,25.38,6.36
2010090617,0.637,7,5.55,51.59,8.94,6.78,4.87,54.3,8.35,6.11,5.99,45.54,8.55,2.51,6.28,21.81,6.76
2010090618,0.682,7.2,5.38,53.24,8.98,7.61,4.46,59.6,8.82,6.84,5.86,49.37,9.01,2.98,6.39,25.04,7.05
2010090619,0.852,6.63,5.61,49.75,8.69,7.6,4.76,57.91,8.97,6.68,5.63,49.88,8.73,4.35,5.95,36.22,7.37
2010090620,0.852,5.56,5.96,43.03,8.15,6.88,5.35,52.17,8.72,5.87,5.25,48.18,7.88,5.85,5.13,48.77,7.78
2010090621,0.847,4.34,5.94,36.13,7.35,5.72,5.56,45.79,7.98,4.8,4.68,45.74,6.7,6.44,4.16,57.1,7.67
2010090622,0.391,3.25,5.25,31.79,6.17,4.36,4.98,41.22,6.62,3.79,3.89,44.28,5.43,5.45,3.28,58.97,6.35
2010090623,0.14,2.44,4.21,30.07,4.87,3.12,4,37.97,5.07,2.97,3.09,43.81,4.29,3.62,2.58,54.56,4.44
2010090700,0.301,1.97,3.32,30.74,3.86,2.29,3.22,35.47,3.95,2.38,2.54,43.19,3.48,2.05,2.15,43.65,2.97
2010090701,0.476,2.11,3.07,34.49,3.73,2.08,2.4,40.89,3.17,1.57,2.06,37.34,2.59,2.84,4,35.38,4.91
2010090702,0.391,2.43,3.24,36.87,4.05,2.01,2.53,38.44,3.23,1.88,2.19,40.64,2.88,2.51,3.61,34.73,4.4
2010090703,0.331,3.02,3.22,43.18,4.42,2.12,2.71,37.95,3.44,2.42,2.41,45.1,3.41,2.39,3.15,37.23,3.96
2010090704,0.281,3.63,2.69,53.49,4.52,2.31,2.77,39.77,3.61,2.71,2.6,46.25,3.76,2.43,2.69,42,3.63
2010090705,0.451,3.89,2.02,62.58,4.38,2.37,2.73,40.96,3.62,2.65,2.68,44.64,3.77,2.47,2.37,46.19,3.42
2010090706,0.566,3.41,1.77,62.55,3.84,2.06,2.66,37.79,3.37,2.21,2.62,40.12,3.43,2.39,2.32,45.83,3.33
2010090707,0.486,2,2.31,40.85,3.06,1.27,2.63,25.79,2.92,1.43,2.41,30.74,2.8,2.09,2.62,38.6,3.36
2010090708,0.576,0.35,3.28,6,3.3,0.38,2.66,8.15,2.69,0.61,2.22,15.4,2.31,1.72,3.11,29.04,3.55
2010090709,0.602,-0.66,4.14,350.89,4.2,-0.08,2.79,358.37,2.79,0.12,2.31,2.88,2.31,1.48,3.54,22.65,3.84
2010090710,0.501,-0.39,4.51,355,4.53,0.25,3.05,4.76,3.06,0.2,2.83,4.14,2.83,1.5,3.78,21.71,4.06
2010090711,0.602,0.79,4.65,9.59,4.71,1.13,3.53,17.72,3.71,0.75,3.72,11.34,3.8,1.79,4.01,24.08,4.39
2010090712,0.642,2.25,4.99,24.28,5.48,2.14,4.32,26.28,4.82,1.51,4.87,17.21,5.1,2.28,4.51,26.85,5.06
2010090713,0.682,2.97,5.42,28.68,6.18,2.31,6.08,20.78,6.5,2.93,5.44,28.3,6.18,3.35,6.23,28.26,7.08
2010090714,0.586,3.7,6.4,30.05,7.39,3.13,6.85,24.54,7.53,3.67,6.4,29.8,7.38,3.79,6.91,28.73,7.88
2010090715,0.682,4.53,6.73,33.9,8.11,4.01,6.62,31.2,7.74,4.44,6.89,32.81,8.19,4.58,7.36,31.9,8.67
2010090716,0.827,5.49,6.11,41.94,8.21,4.9,5.11,43.83,7.08,5.16,6.56,38.23,8.35,5.57,7.61,36.2,9.43
2010090717,0.827,6.15,5.07,50.52,7.97,5.46,3.22,59.48,6.34,5.63,5.78,44.23,8.07,6.59,7.8,40.19,10.22
2010090718,0.827,5.94,4.36,53.71,7.37,5.28,2.17,67.67,5.71,5.59,5.11,47.55,7.58,7.49,8.12,42.71,11.05
2010090719,0.817,4.56,4.52,45.24,6.42,4.13,2.75,56.39,4.96,4.94,4.93,45.07,6.98,8.11,8.59,43.37,11.81
2010090720,0.677,2.79,5.18,28.3,5.88,2.67,4.17,32.67,4.95,4.09,4.92,39.74,6.4,8.33,8.74,43.63,12.08
2010090721,0.842,1.67,5.73,16.28,5.96,1.75,5.24,18.52,5.52,3.58,4.61,37.87,5.84,8.04,7.98,45.22,11.33
2010090722,0.862,1.96,5.71,18.96,6.03,1.98,5.08,21.33,5.45,3.78,3.66,45.89,5.26,7.21,5.96,50.39,9.35
2010090723,0.702,3.18,5.19,31.5,6.08,2.96,4.09,35.9,5.05,4.37,2.42,61.06,5,6.15,3.47,60.56,7.06
2010090800,0.702,4.55,4.37,46.16,6.31,4.04,2.98,53.62,5.02,4.9,1.37,74.38,5.08,5.28,1.54,73.72,5.5
2010090801,0.642,4.71,2.28,64.14,5.23,5,0.89,79.93,5.07,4.92,0.93,79.29,5.01,4.88,-1.2,103.88,5.02
2010090802,0.441,5.03,1.93,69,5.38,4.87,0.87,79.83,4.94,5.08,1.24,76.27,5.23,4.2,-0.4,95.49,4.22
2010090803,0.476,5.19,1.68,72.08,5.46,4.82,1.1,77.09,4.95,5.66,1.78,72.52,5.94,4.7,0.19,87.69,4.71
2010090804,0.436,5.39,1.35,75.94,5.56,5.11,1.37,74.95,5.29,6.56,2,73.02,6.86,5.93,0.58,84.41,5.96
2010090805,0.541,5.72,0.97,80.41,5.8,5.71,1.53,75.03,5.91,7.47,1.85,76.09,7.7,7.24,0.7,84.44,7.27
2010090806,0.627,6.24,0.6,84.48,6.27,6.5,1.41,77.75,6.65,8.04,1.4,80.14,8.16,7.95,0.49,86.48,7.97
2010090807,0.642,6.97,0.32,87.38,6.97,7.38,0.94,82.7,7.44,8.04,0.75,84.66,8.08,7.62,-0.06,90.49,7.62
2010090808,0.511,7.62,0.09,89.36,7.62,8.18,0.28,88.07,8.18,7.72,0.14,88.98,7.72,6.75,-0.65,95.52,6.78
2010090809,0.627,7.85,-0.14,91.05,7.85,8.74,-0.39,92.54,8.75,7.43,-0.19,91.49,7.43,6.05,-0.89,98.36,6.12
2010090810,0.722,7.47,-0.41,93.17,7.49,8.95,-0.88,95.65,8.99,7.45,-0.1,90.74,7.45,6.11,-0.55,95.15,6.13
2010090811,0.722,6.89,-0.75,96.25,6.93,8.87,-1.25,98.05,8.96,7.8,0.14,88.99,7.8,6.77,-0.01,90.11,6.77
2010090812,0.627,6.65,-1.2,100.2,6.76,8.65,-1.58,100.38,8.79,8.39,0.11,89.28,8.39,7.72,0.19,88.62,7.72
2010090813,0.586,8.4,-1.93,102.92,8.62,9.14,-0.47,92.93,9.15,8.68,-0.33,92.19,8.69,8.68,-1.45,99.51,8.8
2010090814,0.677,8.21,-2.19,104.94,8.49,9.8,-1.36,97.9,9.9,9.48,-1.34,98.03,9.58,9.43,-2.28,103.61,9.71
2010090815,0.617,8.15,-2.25,105.44,8.46,10.11,-2.23,102.43,10.36,9.99,-2.45,103.76,10.29,9.83,-3.1,107.51,10.31
2010090816,0.667,8.29,-2.06,103.94,8.54,9.92,-2.81,105.81,10.31,10.12,-3.33,108.22,10.66,9.94,-3.84,111.13,10.66
2010090817,0.687,8.58,-1.84,102.07,8.77,9.51,-3.18,108.48,10.02,10.02,-3.91,111.34,10.75,9.92,-4.41,113.95,10.86
2010090818,0.787,8.95,-1.88,101.86,9.14,9.26,-3.49,110.63,9.9,9.87,-4.17,112.9,10.71,9.94,-4.69,115.28,10.99
2010090819,0.807,9.3,-2.37,104.3,9.6,9.44,-3.84,112.16,10.19,9.8,-4.1,112.7,10.62,10.07,-4.64,114.72,11.09
2010090820,0.782,9.48,-3.05,107.85,9.96,9.67,-4.12,113.09,10.51,9.63,-3.81,111.58,10.35,10.08,-4.33,113.24,10.97
2010090821,0.797,9.29,-3.55,110.92,9.94,9.45,-4.15,113.71,10.32,9.09,-3.42,110.63,9.71,9.63,-3.9,112.03,10.39
2010090822,0.842,8.61,-3.59,112.65,9.33,8.44,-3.8,114.26,9.26,8.04,-3.06,110.81,8.6,8.55,-3.47,112.07,9.22
2010090823,0.762,7.65,-3.31,113.42,8.33,7.04,-3.23,114.62,7.74,6.79,-2.76,112.13,7.33,7.16,-3.07,113.19,7.79
2010090900,0.637,6.66,-2.94,113.78,7.28,5.83,-2.62,114.21,6.39,5.76,-2.57,114.09,6.31,5.95,-2.73,114.67,6.55
2010090901,0.556,5.22,-2.15,112.42,5.65,5.24,-2.51,115.6,5.82,5.28,-2.49,115.27,5.84,5.5,-3.31,121.06,6.42
2010090902,0.541,5.05,-1.89,110.45,5.39,5.07,-2.52,116.43,5.66,5.02,-2.38,115.36,5.55,4.96,-3.19,122.76,5.9
2010090903,0.521,5.01,-1.84,110.16,5.33,4.94,-2.52,117.07,5.55,4.92,-2.44,116.32,5.49,4.74,-3.13,123.41,5.68
2010090904,0.431,4.82,-2.01,112.62,5.22,4.63,-2.47,118.11,5.24,4.8,-2.67,119.1,5.49,4.74,-3.1,123.19,5.66
2010090905,0.441,4.51,-2.27,116.73,5.04,4.2,-2.4,119.77,4.84,4.62,-2.96,122.65,5.49,4.81,-3.1,122.76,5.72
2010090906,0.431,4.14,-2.46,120.77,4.81,3.82,-2.39,122.04,4.51,4.41,-3.15,125.53,5.42,4.82,-3.11,122.85,5.74
2010090907,0.376,3.79,-2.49,123.29,4.54,3.6,-2.48,124.59,4.38,4.19,-3.13,126.73,5.23,4.66,-3.13,123.87,5.61
2010090908,0.386,3.57,-2.47,124.68,4.35,3.59,-2.7,126.9,4.49,4.03,-3,126.67,5.02,4.45,-3.12,125.09,5.44
2010090909,0.501,3.59,-2.59,125.83,4.42,3.8,-3.02,128.47,4.86,4.01,-2.93,126.17,4.96,4.33,-3.07,125.28,5.31
2010090910,0.491,3.89,-2.97,127.4,4.89,4.23,-3.46,129.32,5.46,4.17,-3.05,126.17,5.17,4.43,-2.97,123.8,5.34
2010090911,0.391,4.34,-3.56,129.38,5.62,4.71,-4,130.35,6.18,4.47,-3.42,127.43,5.63,4.69,-3.03,122.83,5.59
2010090912,0.441,4.77,-4.26,131.76,6.39,5.08,-4.64,132.39,6.88,4.8,-4.07,130.26,6.29,5.02,-3.49,124.81,6.12
2010090913,0.431,5.2,-5.32,135.66,7.44,5.1,-4.97,134.25,7.12,5.32,-4.48,130.07,6.96,4.64,-5.77,141.19,7.4
2010090914,0.316,5.16,-5.91,138.88,7.85,5.33,-5.86,137.75,7.92,5.52,-5.62,135.51,7.87,4.67,-6.51,144.37,8.01
2010090915,0.396,5.09,-6.22,140.7,8.03,5.46,-6.44,139.69,8.44,5.52,-6.42,139.28,8.47,4.79,-6.67,144.31,8.22
2010090916,0.326,5.08,-6.14,140.39,7.97,5.49,-6.49,139.79,8.5,5.31,-6.54,140.94,8.42,4.96,-6.42,142.35,8.11
2010090917,0.366,5.05,-5.86,139.27,7.74,5.39,-6.27,139.36,8.27,4.99,-6.24,141.34,7.99,5.08,-6.02,139.87,7.88
2010090918,0.341,4.88,-5.66,139.28,7.47,5.15,-6.16,140.09,8.02,4.74,-5.92,141.3,7.59,5.08,-5.76,138.57,7.68
2010090919,0.296,4.47,-5.71,141.96,7.25,4.77,-6.37,143.16,7.95,4.67,-5.87,141.5,7.5,4.91,-5.8,139.77,7.6
2010090920,0.356,3.9,-5.82,146.2,7,4.27,-6.6,147.1,7.86,4.62,-5.86,141.76,7.46,4.57,-5.88,142.14,7.45
2010090921,0.371,3.27,-5.72,150.24,6.58,3.68,-6.41,150.16,7.39,4.37,-5.53,141.68,7.05,4.11,-5.63,143.83,6.97
2010090922,0.261,2.67,-5.22,152.88,5.86,3.03,-5.53,151.28,6.31,3.78,-4.68,141.07,6.02,3.57,-4.81,143.39,5.99
2010090923,0.18,2.11,-4.5,154.91,4.97,2.39,-4.37,151.29,4.98,2.99,-3.71,141.17,4.77,3,-3.82,141.84,4.86
2010091000,0.175,1.56,-3.85,157.96,4.15,1.83,-3.48,152.32,3.94,2.19,-3.17,145.36,3.85,2.46,-3.21,142.52,4.05
2010091001,0.211,1.39,-3.3,157.11,3.58,1.54,-3.39,155.56,3.73,1.99,-3.34,149.24,3.89,2.32,-4.86,154.46,5.38
2010091002,0.16,1.05,-3.53,163.35,3.68,1.07,-3.98,164.89,4.12,1.56,-3.85,157.97,4.16,1.77,-5.17,161.14,5.46
2010091003,0.165,0.77,-3.73,168.37,3.81,0.77,-4.32,169.93,4.39,1.13,-4.21,164.91,4.36,1.28,-4.96,165.54,5.12
2010091004,0.115,0.5,-3.58,172.1,3.62,0.59,-3.98,171.51,4.02,0.7,-4.01,170.1,4.07,0.87,-4.42,168.84,4.5
2010091005,0.105,0.26,-3.18,175.39,3.2,0.5,-3.23,171.23,3.27,0.33,-3.44,174.51,3.46,0.57,-3.74,171.28,3.79
2010091006,0.115,0.07,-2.76,178.45,2.76,0.42,-2.54,170.65,2.57,0.12,-2.82,177.49,2.82,0.43,-3.15,172.27,3.18
2010091007,0.125,-0.03,-2.48,180.74,2.48,0.3,-2.25,172.33,2.27,0.14,-2.4,176.78,2.41,0.44,-2.83,171.11,2.87
2010091008,0.11,-0.08,-2.42,181.97,2.42,0.17,-2.35,175.99,2.36,0.27,-2.29,173.35,2.3,0.51,-2.81,169.83,2.86
2010091009,0.085,-0.11,-2.59,182.4,2.59,0.03,-2.73,179.37,2.73,0.38,-2.51,171.41,2.54,0.47,-3.1,171.34,3.14
2010091010,0.095,-0.15,-2.98,182.81,2.98,-0.1,-3.26,181.72,3.27,0.35,-3.05,173.41,3.07,0.24,-3.66,176.25,3.67
2010091011,0.1,-0.27,-3.43,184.48,3.44,-0.3,-3.78,184.54,3.8,0.15,-3.7,177.74,3.7,-0.15,-4.27,182.04,4.27
2010091012,0.085,-0.56,-3.78,188.39,3.82,-0.68,-4.12,189.4,4.17,-0.26,-4.19,183.57,4.2,-0.62,-4.66,187.62,4.7
2010091013,0.115,-1.28,-4.15,197.13,4.34,-0.85,-4.33,191.1,4.41,-1.09,-4.66,193.15,4.79,-0.26,-4.46,183.37,4.46
2010091014,0.105,-1.87,-3.98,205.16,4.4,-1.42,-4.22,198.65,4.46,-1.43,-4.38,198.06,4.61,-0.68,-4.62,188.38,4.67
2010091015,0.08,-2.16,-3.76,209.87,4.34,-1.75,-4.04,203.47,4.4,-1.52,-4.01,200.72,4.29,-0.82,-4.46,190.38,4.54
2010091016,0.06,-1.97,-3.63,208.5,4.13,-1.68,-3.92,203.22,4.26,-1.28,-3.71,199.03,3.92,-0.76,-4.08,190.52,4.15
2010091017,0.015,-1.5,-3.55,202.93,3.85,-1.37,-3.85,199.65,4.09,-0.86,-3.53,193.62,3.63,-0.63,-3.66,189.7,3.72
2010091018,0.005,-1.08,-3.49,197.18,3.65,-1.09,-3.79,196.01,3.94,-0.44,-3.52,187.17,3.55,-0.55,-3.38,189.25,3.43
2010091019,0.015,-0.93,-3.41,195.26,3.54,-1,-3.69,195.2,3.82,-0.19,-3.67,183.04,3.67,-0.62,-3.35,190.48,3.41
2010091020,0.02,-0.94,-3.31,195.82,3.44,-1.05,-3.54,196.48,3.69,-0.11,-3.82,181.6,3.82,-0.76,-3.43,192.42,3.51
2010091021,0.045,-0.9,-3.19,195.71,3.31,-1.09,-3.34,198.03,3.51,-0.13,-3.81,182,3.81,-0.84,-3.4,193.83,3.5
2010091022,0.055,-0.65,-3.06,192.07,3.13,-1.02,-3.09,198.19,3.25,-0.22,-3.5,183.67,3.51,-0.78,-3.12,194.01,3.21
2010091023,0.065,-0.25,-2.93,184.9,2.94,-0.86,-2.87,196.71,3,-0.31,-3.08,185.82,3.1,-0.63,-2.75,192.93,2.82
2010091100,0.06,0.22,-2.81,175.52,2.82,-0.69,-2.78,193.97,2.86,-0.33,-2.8,186.72,2.82,-0.48,-2.53,190.8,2.57
2010091101,0.05,-0.57,-2.86,191.22,2.91,-0.25,-2.82,185.04,2.83,-0.41,-2.61,189.02,2.64,-0.03,-2.36,180.65,2.36
2010091102,0.105,-0.57,-3,190.85,3.05,-0.24,-2.94,184.66,2.95,-0.5,-2.84,189.96,2.88,-0.12,-2.67,182.62,2.67
2010091103,0.145,-0.8,-3.04,194.75,3.14,-0.52,-2.88,190.26,2.93,-0.8,-2.98,195.06,3.09,-0.63,-2.78,192.81,2.85
2010091104,0.165,-1.28,-2.86,204.16,3.13,-1.21,-2.43,206.41,2.71,-1.34,-2.86,205.17,3.16,-1.38,-2.71,207.03,3.04
2010091105,0.201,-1.86,-2.46,217.15,3.08,-2,-1.73,229.16,2.64,-1.94,-2.47,218.13,3.14,-2.14,-2.46,221.11,3.26
2010091106,0.195,-2.33,-1.87,231.25,2.99,-2.5,-0.99,248.39,2.69,-2.34,-1.84,231.84,2.97,-2.67,-2.01,233.06,3.34
2010091107,0.15,-2.53,-1.15,245.61,2.77,-2.42,-0.39,260.84,2.45,-2.38,-1.04,246.44,2.6,-2.79,-1.38,243.66,3.12
2010091108,0.055,-2.47,-0.38,261.16,2.5,-1.98,0.06,271.76,1.99,-2.16,-0.21,264.38,2.17,-2.62,-0.7,254.97,2.71
2010091109,0.035,-2.21,0.3,277.68,2.23,-1.51,0.4,284.76,1.56,-1.85,0.47,284.26,1.91,-2.32,-0.12,267.09,2.33
2010091110,0.02,-1.85,0.82,293.86,2.03,-1.27,0.66,297.6,1.43,-1.6,0.9,299.39,1.83,-2.06,0.27,277.54,2.08
2010091111,0.02,-1.55,1.23,308.45,1.98,-1.24,0.93,306.71,1.55,-1.45,1.17,308.95,1.86,-1.86,0.58,287.38,1.94
2010091112,0.07,-1.49,1.62,317.29,2.2,-1.36,1.27,313.05,1.86,-1.44,1.44,314.96,2.03,-1.7,0.97,299.66,1.96
2010091113,0.075,-1.55,1.74,318.28,2.34,-1.58,1.81,318.84,2.4,-1.61,1.54,313.81,2.23,-1.3,1.94,326.08,2.34
2010091114,0.03,-1.81,2.27,321.45,2.9,-1.84,2.26,320.85,2.91,-1.68,2.19,322.61,2.76,-1.6,2.31,325.17,2.81
2010091115,0.06,-2.12,2.74,322.33,3.46,-2.15,2.71,321.58,3.46,-2.02,2.76,323.74,3.42,-2.3,2.65,319.08,3.51
2010091116,0.115,-2.46,3.08,321.39,3.95,-2.47,3.11,321.56,3.97,-2.69,3.1,319.12,4.1,-3.19,2.96,312.83,4.35
2010091117,0.18,-2.79,3.36,320.22,4.37,-2.76,3.44,321.29,4.41,-3.46,3.3,313.7,4.78,-4.04,3.23,308.68,5.17
2010091118,0.206,-3.04,3.64,320.16,4.75,-3,3.71,321.04,4.77,-4.05,3.46,310.56,5.33,-4.56,3.47,307.24,5.73
2010091119,0.241,-3.15,3.99,321.65,5.08,-3.16,3.89,320.94,5.01,-4.24,3.64,310.64,5.59,-4.58,3.66,308.61,5.86
2010091120,0.296,-3.12,4.19,323.27,5.23,-3.18,3.88,320.65,5.02,-4.1,3.68,311.91,5.51,-4.18,3.7,311.49,5.59
2010091121,0.185,-2.96,4.01,323.53,4.99,-3.04,3.58,319.65,4.69,-3.77,3.39,311.97,5.07,-3.55,3.49,314.47,4.98
2010091122,0.08,-2.69,3.32,320.95,4.27,-2.7,2.92,317.25,3.98,-3.34,2.65,308.42,4.26,-2.85,2.96,316.09,4.1
2010091123,0.04,-2.36,2.41,315.53,3.37,-2.27,2.15,313.37,3.13,-2.83,1.74,301.55,3.32,-2.15,2.25,316.22,3.11
2010091200,0.13,-2.04,1.68,309.42,2.64,-1.88,1.55,309.41,2.44,-2.23,1.03,294.77,2.46,-1.55,1.55,315.02,2.19
2010091201,0.07,-1.63,1.33,309.15,2.1,-1.57,0.77,296.21,1.75,-1.1,1.02,312.77,1.5,-1.87,1.22,303.09,2.23
2010091202,0.02,-1.51,1.34,311.53,2.02,-1.04,0.73,305.11,1.27,-0.85,0.66,307.7,1.08,-2.21,1.29,300.26,2.56
2010091203,0.005,-1.49,1.34,312,2,-0.9,0.56,301.87,1.06,-0.84,0.44,297.58,0.95,-2.39,1.25,297.67,2.7
2010091204,0.065,-1.5,1.15,307.46,1.89,-1.28,0.03,271.17,1.28,-1.06,0.34,287.7,1.11,-2.39,1.14,295.58,2.65
2010091205,0.02,-1.46,0.88,301.09,1.71,-1.89,-0.58,252.87,1.98,-1.31,0.37,285.98,1.36,-2.2,1.03,295.08,2.43
2010091206,0.005,-1.25,0.7,299.27,1.43,-2.33,-0.85,249.86,2.48,-1.35,0.58,293.39,1.47,-1.82,0.99,298.52,2.07
2010091207,0.01,-0.78,0.73,313.09,1.06,-2.28,-0.53,257.02,2.34,-1.01,0.96,313.58,1.4,-1.22,1.05,310.69,1.61
2010091208,0,-0.1,0.88,353.56,0.89,-1.72,0.09,272.95,1.72,-0.38,1.37,344.58,1.42,-0.41,1.12,339.97,1.19
2010091209,0,0.7,1.04,33.88,1.26,-0.69,0.53,307.21,0.87,0.41,1.63,14.04,1.68,0.65,1.04,31.72,1.23
2010091210,0,1.54,1.09,54.88,1.89,0.69,0.44,57.8,0.82,1.22,1.62,37.09,2.03,1.91,0.74,68.84,2.05
2010091211,0.065,2.34,0.93,68.27,2.52,2.15,-0.09,92.48,2.15,2.02,1.41,55.09,2.47,3.18,0.33,84.12,3.2
2010091212,0.105,3,0.52,80.22,3.04,3.33,-0.87,104.57,3.44,2.78,1.14,67.64,3.01,4.22,-0.01,90.16,4.22
2010091213,0.1,4,-1.68,112.85,4.34,3.48,0.92,75.26,3.6,4.86,-0.15,91.71,4.86,5.02,0.08,89.1,5.02
2010091214,0.125,4.27,-2.34,118.72,4.87,4.16,0.71,80.34,4.22,5.23,-0.12,91.33,5.23,5.62,-0.13,91.32,5.62
2010091215,0.18,4.39,-2.63,120.96,5.11,4.85,0.46,84.52,4.87,5.54,-0.03,90.35,5.54,6.09,-0.38,93.59,6.1
2010091216,0.11,4.53,-2.44,118.28,5.14,5.56,0.14,88.51,5.56,5.95,0.03,89.73,5.95,6.42,-0.65,95.77,6.45
2010091217,0.195,4.77,-1.99,112.67,5.17,6.19,-0.26,92.37,6.2,6.4,-0.02,90.18,6.4,6.64,-0.92,97.93,6.7
2010091218,0.261,5.17,-1.64,107.56,5.42,6.61,-0.73,96.32,6.65,6.77,-0.26,92.17,6.77,6.78,-1.21,100.1,6.88
2010091219,0.521,5.7,-1.59,105.63,5.91,6.69,-1.24,100.53,6.8,6.96,-0.7,95.72,6.99,6.83,-1.47,102.14,6.99
2010091220,0.521,6.06,-1.7,105.68,6.29,6.42,-1.62,104.2,6.62,6.83,-1.1,99.12,6.92,6.66,-1.56,103.21,6.85
2010091221,0.391,5.91,-1.7,106.02,6.15,5.79,-1.67,106.12,6.03,6.25,-1.15,100.4,6.36,6.09,-1.32,102.22,6.23
2010091222,0.251,5.03,-1.38,105.31,5.21,4.85,-1.26,104.53,5.01,5.19,-0.64,97.08,5.23,5.02,-0.63,97.17,5.06
2010091223,0.17,3.8,-0.79,101.76,3.88,3.83,-0.5,97.5,3.86,3.95,0.2,87.05,3.95,3.8,0.29,85.71,3.81
